#11035 Wien Observations at 12Z 09 Jul 2018
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1000.0    145                                                               
  994.0    200   27.2   11.2     37   8.47    340      4  300.9  326.2  302.4
  986.0    271   23.8   10.8     44   8.31    332      5  298.1  322.7  299.6
  981.0    315   23.6   10.6     44   8.24    327      6  298.4  322.8  299.9
  944.0    647   20.7   10.3     51   8.42    290     12  298.8  323.7  300.3
  925.0    823   19.2   10.2     56   8.51    310      8  298.9  324.2  300.5
  861.0   1432   12.8    8.8     77   8.34    290     10  298.4  323.1  299.9
  850.0   1541   11.6    8.6     82   8.31    305     14  298.3  322.9  299.8
  806.0   1983    7.6    7.2     97   7.96    341     11  298.6  322.2  300.0
  778.0   2274    5.8    3.1     83   6.18      5     10  299.7  318.3  300.8
  757.0   2498    4.4   -0.1     73   5.04      7     11  300.5  315.9  301.4
  724.0   2860    1.4   -1.0     84   4.94      9     13  301.1  316.2  302.0
  712.0   2994    0.9   -2.2     80   4.58     10     14  302.0  316.1  302.8
  700.0   3131    0.4   -3.5     75   4.24      0     14  302.9  316.1  303.7
  694.0   3200   -0.1   -3.4     78   4.32      0     14  303.1  316.5  303.9
  672.0   3457   -1.9   -2.9     93   4.62     35     12  303.9  318.2  304.7
  667.0   3516   -2.3   -2.8     96   4.69     30     11  304.1  318.6  304.9
  660.0   3600   -2.7   -4.3     89   4.23     22     11  304.5  317.8  305.3
  652.0   3696   -2.7   -8.7     63   3.05     13     10  305.6  315.4  306.2
  640.0   3843   -3.3  -10.2     59   2.75      0     10  306.5  315.4  307.0
  614.0   4170   -4.7  -13.7     49   2.17      5     10  308.6  315.7  309.0
  588.0   4509   -5.7  -23.7     23   0.97      9     10  311.3  314.6  311.4
  585.0   4549   -5.9  -22.0     27   1.13     10     10  311.5  315.4  311.7
  574.0   4697   -6.5  -15.5     49   2.00     35     10  312.5  319.2  312.9
  572.0   4725   -6.5  -17.5     41   1.70     35     10  312.8  318.6  313.1
  538.0   5198   -9.7  -25.7     26   0.88     40     10  314.6  317.7  314.7
  524.0   5401  -11.0  -29.2     21   0.65     15     12  315.3  317.7  315.4
  513.0   5565  -12.1  -32.1     17   0.51     29     12  315.9  317.8  316.0
  505.0   5684  -13.0  -31.7     19   0.53     40     12  316.3  318.2  316.4
  500.0   5760  -13.5  -31.5     20   0.55     35     10  316.5  318.5  316.6
  494.0   5851  -14.3  -30.9     23   0.59     20     10  316.6  318.8  316.8
  484.0   6006  -15.7  -29.9     29   0.67     30     10  316.8  319.2  316.9
  475.0   6149  -16.9  -28.9     35   0.74     22     10  317.0  319.7  317.1
  457.0   6438  -18.7  -36.4     19   0.37      5     12  318.3  319.7  318.4
  447.0   6604  -19.7  -40.7     14   0.25     22     13  319.0  320.0  319.1
  445.0   6636  -20.0  -40.8     14   0.25     25     14  319.1  320.1  319.1
  412.0   7203  -24.4  -41.7     19   0.24     30     17  320.5  321.4  320.5
  400.0   7420  -26.1  -42.1     21   0.24     25     14  321.0  321.9  321.0
  389.0   7619  -27.7  -45.2     17   0.17     10     14  321.4  322.1  321.5
  357.0   8230  -32.7  -54.7      9   0.06     14     14  322.7  323.0  322.7
  349.0   8388  -34.0  -55.4     10   0.06     15     14  323.0  323.3  323.0
  344.0   8489  -34.9  -55.9     10   0.06     10     17  323.2  323.4  323.2
  321.0   8965  -37.9  -56.9     12   0.05     25     33  325.4  325.7  325.4
  300.0   9430  -40.9  -57.9     14   0.05     15     33  327.6  327.8  327.6
  289.0   9683  -42.3  -54.3     26   0.08     13     34  329.1  329.5  329.1
  285.0   9777  -42.9  -62.9      9   0.03     12     34  329.6  329.7  329.6
  273.0  10066  -44.5  -60.5     15   0.04      9     35  331.3  331.5  331.3
  266.0  10240  -45.9  -52.9     45   0.11      8     36  331.8  332.2  331.8
  255.0  10520  -47.9  -55.9     39   0.08      5     37  332.8  333.2  332.9
  254.0  10545  -48.1  -58.1     30   0.06      5     37  332.9  333.2  332.9
  253.0  10571  -48.1  -62.6     17   0.03      5     37  333.3  333.4  333.3
  252.0  10598  -48.1  -67.1      9   0.02      5     37  333.7  333.8  333.7
  250.0  10650  -48.3  -60.3     24   0.05      5     37  334.1  334.3  334.1
  241.0  10892  -48.9  -68.9      8   0.01      8     35  336.7  336.8  336.8
  225.0  11340  -50.0  -71.8      6   0.01     15     31  341.7  341.8  341.7
  205.0  11949  -51.5  -75.8      4   0.01    355     35  348.6  348.6  348.6
  200.0  12110  -51.9  -76.9      3   0.01      0     31  350.4  350.4  350.4
  186.0  12576  -53.9  -76.9      4   0.01      5     31  354.5  354.6  354.5
  173.0  13042  -52.8  -82.0      2   0.00     20     16  363.9  363.9  363.9
  164.0  13385  -51.9  -85.8      1   0.00    350     14  370.9  370.9  370.9
  162.0  13464  -51.7  -86.7      1   0.00    356     14  372.5  372.5  372.5
  159.0  13584  -51.9  -86.4      1   0.00      5     14  374.2  374.3  374.2
  155.0  13749  -52.0  -85.9      1   0.00    340     14  376.6  376.7  376.6
  151.0  13917  -52.2  -85.4      1   0.00    345     14  379.1  379.1  379.1
  150.0  13960  -52.3  -85.3      1   0.00    345     14  379.8  379.8  379.8
  139.0  14452  -52.7  -86.2      1   0.00    325     12  387.4  387.5  387.4
  134.0  14689  -52.9  -86.7      1   0.00    355     12  391.2  391.2  391.2
  111.0  15906  -53.8  -89.0      1   0.00    310      4  411.1  411.1  411.1
  104.0  16327  -54.1  -89.8      1   0.00    325     12  418.2  418.2  418.2
  100.0  16580  -54.3  -90.3      0   0.00    345     14  422.5  422.5  422.5
   98.0  16710  -54.2  -90.3      0   0.00     20     14  425.1  425.1  425.1
   95.0  16909  -54.1  -90.3      0   0.00     15     12  429.1  429.1  429.1
   87.0  17474  -53.8  -90.2      0   0.00    110     10  440.6  440.6  440.6
   76.0  18342  -53.4  -90.2      0   0.00      0      0  458.9  458.9  458.9
   70.0  18870  -53.1  -90.1      0   0.00    120      8  470.4  470.4  470.4
   69.0  18963  -53.1  -90.1      0   0.00    150     10  472.5  472.5  472.5
   67.0  19152  -53.0  -90.0      0   0.00    175     12  476.6  476.6  476.6
   62.0  19653  -52.7  -89.7      0   0.00     55     10  487.8  487.8  487.8
   58.0  20083  -52.5  -89.5      0   0.00    120     14  497.7  497.7  497.7
   55.0  20425  -52.4  -89.4      0   0.00    110     10  505.6  505.6  505.6
   54.0  20544  -52.3  -89.3      0   0.00    130     10  508.4  508.4  508.4
   51.0  20912  -52.2  -89.2      0   0.00     80     10  517.2  517.2  517.2
   50.0  21040  -52.1  -89.1      0   0.00     90     10  520.2  520.3  520.2
   49.0  21171  -52.1  -89.1      0   0.00     95     10  523.4  523.4  523.4
   48.0  21305  -52.0  -89.0      0   0.00     85     14  526.5  526.5  526.5
   45.0  21723  -51.9  -88.9      0   0.00    110     17  536.6  536.6  536.6
   43.0  22018  -51.8  -88.8      0   0.00    125     14  543.8  543.8  543.8
   41.0  22327  -51.8  -88.8      0   0.00     95     14  551.5  551.5  551.5
   39.0  22651  -51.7  -88.7      0   0.00    115     14  559.6  559.6  559.6
   37.0  22992  -51.6  -88.6      0   0.00    105     10  568.3  568.4  568.3
   36.0  23170  -51.5  -88.5      0   0.00     80     10  572.9  573.0  572.9
   35.3  23297  -51.5  -88.5      0   0.00     86     15  576.2  576.3  576.2
   33.0  23738  -50.4  -87.8      0   0.01    105     31  590.3  590.3  590.3
   30.0  24360  -48.9  -86.9      0   0.01    130     19  610.7  610.8  610.7
   28.0  24818  -48.0  -86.4      0   0.01    130     12  625.2  625.3  625.2
   27.0  25059  -47.6  -86.1      0   0.01     95     14  633.0  633.1  633.0
   24.0  25840  -46.1  -85.2      0   0.01     90     27  658.9  659.0  658.9
   23.0  26123  -45.6  -84.9      0   0.01    100     21  668.5  668.6  668.5
   21.0  26726  -44.5  -84.3      0   0.02     70     23  689.5  689.7  689.5
   20.0  27050  -43.9  -83.9      0   0.02    110     29  701.0  701.2  701.0
